"Site_Date_Visit","Richness","Shannon's entropy","Shannon's index","Simpson's index","Pielou's evenness","Shannon's evenness","Simpson's evenness"
"SOL001 2013-11-26 23106",24,2.04347323141259,7.71736690528475,5.10890440855522,0.642995160087914,0.321556954386864,0.212871017023134
"SPR001 2013-11-27 23104",22,2.49000507118872,12.0613372856072,8.18109935964797,0.80555511894811,0.548242603891236,0.371868152711271
"TOM01 2012-12-11 21418",24,2.55846704646769,12.9160025001718,9.63612040133779,0.805042073874368,0.538166770840492,0.401505016722408
"BMD01 2015-10-20 27439",12,1.14125793012758,3.13070409623303,2.34279592929834,0.459275977318885,0.260892008019419,0.195232994108195
"CBS01 2015-10-20 27442",21,1.87460988449792,6.51827574384255,4.03041939586897,0.615731998316189,0.310394083040122,0.191924733136618
"CKS01 2015-10-20 27443",22,2.06053361619582,7.85015766413508,5.20161729392453,0.666614466571663,0.356825348369777,0.236437149723842
"COX01 2015-10-21 27440",24,2.19269475069289,8.95932375792668,5.10059190218586,0.689948901983459,0.373305156580279,0.212524662591077
"GLS01 2015-10-22 27460",23,2.13409412421599,8.44938894215165,4.5720748618541,0.68062448126175,0.367364736615289,0.198785863558874
"HGH01 2015-10-21 27441",23,2.44477000775335,11.5278979667706,8.21633333333333,0.779708026675114,0.501212955076984,0.357231884057971
"RKY01 2015-10-22 27459",19,1.90373953418655,6.710943379602,4.27105858958898,0.646554249436508,0.353207546294842,0.224792557346788
"STH01 2015-10-25 27461",22,1.83723834612644,6.27917339066523,3.55298235689283,0.594374996089212,0.285416972302965,0.161499198040583
"STY01 2015-10-25 27458",20,1.80476556076906,6.0785462317597,3.75867052023121,0.602445544517226,0.303927311587985,0.187933526011561
"WCB01 2015-10-21 27445",19,1.77786613149054,5.917216375605,4.15013316381195,0.603804712568317,0.311432440821316,0.218428061253261
"ANN02 2002-09-24 65",30,2.11158126047386,8.26129421987443,4.83294645022242,0.620834671888974,0.275376473995814,0.161098215007414
"ANN02 2004-10-20 2991",28,2.48868630849314,12.0454417274744,8.73934244881069,0.746858814005472,0.430194347409799,0.31211937317181
"ANN03 2002-09-24 68",34,2.47697301142946,11.905172998653,6.47755102040816,0.702416271433017,0.350152147019205,0.190516206482593
"ANN04 2002-09-25 3000",29,2.37385615022582,10.7387226726618,6.353041020014,0.704974041510144,0.370300781815925,0.219070380000483
"ANN05 2002-10-11 70",27,1.14841838009354,3.15320179697742,1.66659730722154,0.348445152713464,0.116785251739905,0.0617258261933904
"ANN10 2003-10-09 2998",15,0.962477872890389,2.61817594965654,1.66739316619937,0.355413600714879,0.174545063310436,0.111159544413292
"ANN12 2004-10-19 2988",19,1.9315159241302,6.89996213654008,4.36889565489877,0.655987757870602,0.363155901923162,0.22994187657362
"ANN13 2004-10-19 2989",23,2.06538196454447,7.88831037716797,5.16301164611771,0.658710181652315,0.342970016398608,0.224478767222509
"ANN18 2004-10-21 2994",26,2.48309459839605,11.9782750725836,7.50870186640493,0.762130455441918,0.460702887407062,0.288796225630959
"ANN21 2006-10-11 10190",23,1.3791820811118,3.9716518095998,1.94216277026923,0.439861146643228,0.172680513460861,0.084441859576923
"ANN23 2014-10-06 26544",27,2.35994563445948,10.5903756852846,7.25357095476054,0.716038363063927,0.392236136492021,0.268650776102242
"00BR01AK0127 2012-10-02 21562",19,2.3726886806513,10.7261928561852,8.60739618484343,0.805820292911284,0.564536466115013,0.453020851833865
"00BR01AK0127 2014-09-11 26084",26,2.47064747187806,11.8301040321497,7.50283553875236,0.75831008782152,0.455004001236526,0.288570597644322
"00BR01AK0127 2015-09-15 27255",27,2.31390922382574,10.1138849151474,6.08794204146044,0.702070314126617,0.374588330190646,0.225479334868905
